time,seconds_elapsed,z,y,x
1694728527252247800,207.25324780273436,15.262500762939453,45.78750228881836,-3.9562501907348633
1694728527272247800,207.27324780273437,14.231250762939453,45.806251525878906,-3.0562500953674316
1694728527292254700,207.29325463867187,13.93125057220459,46.181251525878906,-2.25
1694728527312248300,207.3132482910156,13.218750953674316,45.73125076293945,-1.8750001192092896
1694728527332238800,207.33323876953125,12.693750381469727,45.84375,-1.2750000953674316
1694728527352238800,207.35323876953126,12.375000953674316,45.73125076293945,-1.7812501192092896
1694728527372228600,207.373228515625,12.787500381469727,45.65625,-1.8750001192092896
1694728527392235800,207.39323583984375,14.437500953674316,45.46875,-2.6625001430511475
1694728527412232700,207.41323266601563,16.106250762939453,45.03750228881836,-2.4562501907348633
1694728527432230700,207.43323071289063,18.58125114440918,43.96875,-3.1500000953674316
1694728527452232200,207.45323217773438,19.70625114440918,42.78750228881836,-3.8812501430511475
1694728527472241200,207.4732412109375,22.61250114440918,42.35625076293945,-4.143750190734863
1694728527492244000,207.4932438964844,26.118751525878906,40.03125,-5.175000190734863
1694728527512241700,207.51324169921875,27.262500762939453,38.962501525878906,-5.381250381469727
1694728527532247000,207.5332470703125,27.843751907348633,38.04375076293945,-7.125000476837158
1694728527552258600,207.55325854492187,29.17500114440918,37.29375076293945,-8.943750381469727
1694728527572256500,207.57325659179688,29.887500762939453,36.993751525878906,-10.050000190734863
1694728527592264200,207.59326416015625,32.15625,35.306251525878906,-10.575000762939453
1694728527612258800,207.6132587890625,32.45625305175781,34.33125305175781,-10.800000190734863
1694728527632253400,207.63325341796875,34.42500305175781,32.28750228881836,-11.02500057220459
1694728527652245000,207.65324487304687,35.56875228881836,31.593751907348633,-10.537500381469727
1694728527672234200,207.67323413085938,36.50625228881836,29.756250381469727,-10.162500381469727
1694728527692240100,207.693240234375,36.712501525878906,28.98750114440918,-8.86875057220459
1694728527712234200,207.71323413085938,37.66875076293945,28.462501525878906,-8.362500190734863
1694728527732239600,207.73323950195314,38.212501525878906,27.375001907348633,-6.262500286102295
1694728527752245200,207.7532453613281,38.73750305175781,27.131250381469727,-5.568750381469727
1694728527772245500,207.77324560546876,36.97500228881836,27.412500381469727,-4.575000286102295
1694728527792253200,207.79325317382813,36.58125305175781,28.837501525878906,-4.125
1694728527812255000,207.8132548828125,35.13750076293945,30.787500381469727,-4.293750286102295
1694728527832245000,207.83324487304688,33.35625076293945,32.962501525878906,-5.175000190734863
1694728527852251100,207.85325122070313,33.056251525878906,33.41250228881836,-5.362500190734863
1694728527872252000,207.873251953125,33.056251525878906,33.65625,-5.662500381469727
1694728527892250400,207.89325048828124,33.993751525878906,33.50625228881836,-4.931250095367432
1694728527912245500,207.91324560546875,34.20000076293945,32.10000228881836,-4.481250286102295
1694728527932246500,207.93324658203124,34.3125,32.04375076293945,-3.468750238418579
1694728527952254700,207.95325463867186,35.17500305175781,31.181251525878906,-2.1750001907348633
1694728527972238000,207.97323803710938,35.47500228881836,30.750001907348633,-1.9687501192092896
1694728527992244500,207.99324438476563,34.53750228881836,31.593751907348633,-3.375000238418579
1694728528012233200,208.01323315429687,32.13750076293945,33.09375,-3.562500238418579
1694728528032232200,208.03323217773436,31.218751907348633,34.931251525878906,-3.825000047683716
1694728528052227300,208.05322729492187,30.993751525878906,34.66875076293945,-4.143750190734863
1694728528072227600,208.0732275390625,31.312501907348633,34.66875076293945,-4.143750190734863
1694728528092235500,208.09323559570313,28.725000381469727,36.1875,-3.825000047683716
1694728528112237600,208.11323754882812,28.912500381469727,36.86250305175781,-4.612500190734863
1694728528132246500,208.13324658203126,27.150001525878906,37.91250228881836,-5.118750095367432
1694728528152249300,208.15324926757813,26.325000762939453,38.60625076293945,-5.212500095367432
1694728528172247300,208.17324731445314,25.087501525878906,39.67500305175781,-4.893750190734863
1694728528192252400,208.19325244140626,24.168750762939453,40.57500076293945,-4.78125
1694728528212252200,208.21325219726563,24.056251525878906,40.743751525878906,-4.78125
1694728528232251400,208.23325146484376,22.70625114440918,41.17500305175781,-4.893750190734863
1694728528252256300,208.25325634765625,22.087501525878906,41.36250305175781,-4.293750286102295
1694728528272254000,208.27325390625,21.056251525878906,41.73750305175781,-3.4875001907348633
1694728528292259000,208.29325903320313,20.962501525878906,42.1875,-3.468750238418579
1694728528312251000,208.3132509765625,19.181251525878906,42.86250305175781,-3.9750001430511475
1694728528332240600,208.33324072265626,19.106250762939453,42.806251525878906,-2.981250047683716
1694728528352240400,208.35324047851563,18.168750762939453,44.04375076293945,-2.8500001430511475
1694728528372225300,208.37322534179688,16.200000762939453,44.04375076293945,-2.5875000953674316
1694728528392234200,208.39323413085938,15.80625057220459,44.41875076293945,-1.9687501192092896
1694728528412231200,208.41323120117187,12.80625057220459,44.625,-0.28125
1694728528432228900,208.43322875976563,12.61875057220459,44.8125,0.11250000447034836
1694728528452242200,208.4532421875,12.300000190734863,44.73750305175781,0.39375001192092896
1694728528472248600,208.47324853515624,11.887500762939453,44.8125,0.30000001192092896
1694728528492260600,208.49326049804688,11.887500762939453,45,0.6187500357627869
1694728528512254500,208.51325439453126,12.506250381469727,44.55000305175781,0.39375001192092896
1694728528532256000,208.5332561035156,13.443750381469727,44.38125228881836,0.4125000238418579
1694728528552264200,208.55326416015626,14.887500762939453,43.931251525878906,0.22500000894069672
1694728528572258600,208.57325854492188,15.412500381469727,43.125,0
1694728528592264400,208.5932644042969,19.556251525878906,42.50625228881836,-0.768750011920929
1694728528612258000,208.61325805664063,20.793750762939453,41.79375076293945,-0.862500011920929
1694728528632252200,208.63325219726562,24.187501907348633,40.44375228881836,-2.7750000953674316
1694728528652244000,208.65324389648438,25.51875114440918,39.01875305175781,-3.281250238418579
1694728528672239000,208.6732390136719,27.075000762939453,37.931251525878906,-4.012500286102295
1694728528692241400,208.69324145507812,27.86250114440918,37.44375228881836,-6.037500381469727
1694728528712235000,208.71323510742187,29.812501907348633,36.806251525878906,-7.425000190734863
1694728528732237800,208.73323779296874,30.318750381469727,35.34375,-8.77500057220459
1694728528752243700,208.75324365234374,31.856250762939453,34.81875228881836,-9.487500190734863
1694728528772244200,208.773244140625,33.50625228881836,33.03750228881836,-9.61875057220459
1694728528792252200,208.79325219726562,34.85625076293945,31.61250114440918,-9.637500762939453
1694728528812254000,208.81325390625,35.47500228881836,30.562501907348633,-9.037500381469727
1694728528832244200,208.833244140625,37.14375305175781,29.17500114440918,-8.456250190734863
1694728528852250600,208.85325073242188,37.57500076293945,28.406251907348633,-7.256250381469727
1694728528872240400,208.8732404785156,38.32500076293945,27.48750114440918,-5.568750381469727
1694728528892244000,208.89324389648436,37.81875228881836,27.243751525878906,-4.162500381469727
1694728528912242700,208.91324267578125,37.837501525878906,27.187501907348633,-3.0562500953674316
1694728528932245000,208.93324487304687,37.743751525878906,27.993751525878906,-2.8312501907348633
1694728528952254200,208.95325415039062,36.50625228881836,29.662500381469727,-3.093750238418579
1694728528972254500,208.97325439453124,33.69375228881836,32.04375076293945,-2.9625000953674316
1694728528992257500,208.99325756835938,32.868751525878906,33.54375076293945,-3.450000047683716
1694728529012243200,209.0132431640625,32.23125076293945,33.618751525878906,-3.9562501907348633
1694728529032239900,209.03323999023436,34.10625076293945,32.212501525878906,-3.6750001907348633
1694728529052233000,209.05323291015625,34.01250076293945,31.98750114440918,-2.3625001907348633
1694728529072231200,209.07323120117186,34.650001525878906,31.70625114440918,-2.4562501907348633
1694728529092237600,209.0932375488281,34.33125305175781,31.537500381469727,-1.9687501192092896
1694728529112238300,209.11323828125,35.17500305175781,30.86250114440918,-1.162500023841858
1694728529132246800,209.13324682617187,34.96875,30.48750114440918,-2.1937501430511475
1694728529152249000,209.1532490234375,34.85625076293945,31.275001525878906,-2.1750001907348633
1694728529172257800,209.1732578125,34.23750305175781,32.0625,-2.6625001430511475
1694728529192260400,209.19326025390626,33.58125305175781,32.64375305175781,-3.8625001907348633
1694728529212257800,209.2132578125,32.55000305175781,33.69375228881836,-3.9562501907348633
1694728529232255700,209.233255859375,30.881250381469727,35.53125,-5.137500286102295
1694728529252258800,209.2532587890625,30.056251525878906,36.48750305175781,-5.625
1694728529272255200,209.27325512695313,28.80000114440918,37.181251525878906,-5.71875
1694728529292259300,209.29325927734374,27.150001525878906,38.08125305175781,-5.512500286102295
1694728529312251000,209.3132509765625,27.356250762939453,38.60625076293945,-5.400000095367432
1694728529332240100,209.333240234375,26.118751525878906,39.58125305175781,-5.193750381469727
1694728529352238800,209.35323876953126,25.70625114440918,40.03125,-5.175000190734863
1694728529372227800,209.37322778320313,24.468751907348633,40.66875076293945,-4.78125
1694728529392234000,209.39323388671875,23.325000762939453,41.10000228881836,-4.575000286102295
1694728529412231000,209.41323095703126,22.912500381469727,42.07500076293945,-4.856250286102295
1694728529432228900,209.43322875976563,20.73750114440918,42.76875305175781,-4.762500286102295
1694728529452231000,209.45323095703125,19.70625114440918,42.67500305175781,-4.987500190734863
1694728529472239600,209.47323950195312,18.450000762939453,43.63125228881836,-5.175000190734863
1694728529492242700,209.49324267578126,18.056251525878906,44.10000228881836,-4.368750095367432
1694728529512241000,209.51324096679687,16.70625114440918,44.118751525878906,-3.7875001430511475
1694728529532246500,209.53324658203124,15.787500381469727,44.66250228881836,-2.7750000953674316
1694728529552258000,209.55325805664063,15.787500381469727,44.493751525878906,-2.4750001430511475
1694728529572245200,209.57324536132813,14.887500762939453,45.150001525878906,-1.0500000715255737
1694728529592255500,209.59325537109376,14.58750057220459,44.90625,0.3375000059604645
1694728529612252200,209.61325219726564,12.393750190734863,44.98125076293945,0.20625001192092896
1694728529632250000,209.63325,13.237500190734863,44.8125,0.01875000074505806
1694728529652243000,209.65324291992187,13.237500190734863,44.98125076293945,-0.26250001788139343
1694728529672234200,209.67323413085938,13.968750953674316,44.98125076293945,0.03750000149011612
1694728529692234500,209.693234375,13.856250762939453,45.07500076293945,-0.16875000298023224
1694728529712230400,209.71323046875,15.206250190734863,44.53125,-0.5625
1694728529732236000,209.73323608398437,17.381250381469727,44.36250305175781,-0.6375000476837158
1694728529752243200,209.7532431640625,19.762500762939453,43.3125,-0.6375000476837158
1694728529772244500,209.77324438476563,21.09375,41.962501525878906,-1.8562500476837158
1694728529792252700,209.79325268554686,25.106250762939453,40.78125,-3.656250238418579
1694728529812254700,209.81325463867188,26.343751907348633,39.88125228881836,-4.162500381469727
1694728529832245200,209.83324536132812,28.293750762939453,38.4375,-5.90625
1694728529852251400,209.85325146484374,28.89375114440918,38.04375076293945,-7.012500286102295
1694728529872252400,209.87325244140624,30.01875114440918,37.48125076293945,-8.21250057220459
1694728529892248800,209.89324877929687,31.856250762939453,36.03750228881836,-9.65625
1694728529912249000,209.9132490234375,33.20625305175781,35.0625,-10.068750381469727
1694728529932249600,209.93324951171874,33.50625228881836,33.73125076293945,-10.293750762939453
1694728529952257000,209.95325708007812,35.36250305175781,32.306251525878906,-10.706250190734863
1694728529972240000,209.97323999023436,37.53750228881836,30.562501907348633,-10.012500762939453
1694728529992245500,209.99324560546876,38.79375076293945,29.08125114440918,-9.037500381469727
1694728530012234200,210.0132341308594,39.337501525878906,28.14375114440918,-7.331250190734863
1694728530032233000,210.03323291015624,40.29375076293945,26.868751525878906,-5.550000190734863
1694728530052228900,210.05322875976563,41.025001525878906,25.912500381469727,-4.762500286102295
1694728530072228600,210.073228515625,40.63125228881836,25.762500762939453,-3.2437500953674316
1694728530092236000,210.09323608398438,39.91875076293945,26.493751525878906,-2.6437501907348633
1694728530112237800,210.11323779296876,38.88750076293945,28.087501525878906,-2.90625
1694728530132246800,210.13324682617187,37.743751525878906,29.662500381469727,-2.981250047683716
1694728530152249300,210.15324926757813,35.98125076293945,31.687501907348633,-3.356250047683716
1694728530172247300,210.17324731445314,35.04375076293945,33.26250076293945,-4.237500190734863
1694728530192252200,210.19325219726562,34.837501525878906,33.54375076293945,-3.918750047683716
1694728530212252200,210.21325219726563,35.775001525878906,32.587501525878906,-3.5250000953674316
1694728530232251100,210.23325122070312,36.525001525878906,31.725000381469727,-1.9312500953674316
1694728530252247000,210.2532470703125,35.493751525878906,31.14375114440918,-0.65625
1694728530272246800,210.27324682617189,36.63750076293945,30.95625114440918,-1.443750023841858
1694728530292253700,210.29325366210938,36.9375,30.318750381469727,-2.2687501907348633
1694728530312247300,210.31324731445312,37.743751525878906,30.20625114440918,-2.8687500953674316
1694728530332238300,210.33323828125,37.01250076293945,31.33125114440918,-3.656250238418579
1694728530352238300,210.35323828125,35.868751525878906,32.73750305175781,-4.125
1694728530372224500,210.373224609375,35.13750076293945,32.8125,-4.743750095367432
1694728530392231400,210.3932314453125,34.10625076293945,34.29375076293945,-5.418750286102295
1694728530412229400,210.4132294921875,32.13750076293945,35.79375076293945,-5.118750095367432
1694728530432228400,210.43322827148438,30.881250381469727,37.462501525878906,-5.981250286102295
1694728530452231000,210.45323095703125,30.056251525878906,38.53125,-5.568750381469727
1694728530472240000,210.473240234375,29.231250762939453,39.150001525878906,-5.662500381469727
1694728530492254700,210.49325463867189,27.375001907348633,39.78750228881836,-4.668750286102295
1694728530512250400,210.51325048828124,27.48750114440918,40.5,-4.425000190734863
1694728530532253700,210.5332536621094,25.631250381469727,41.212501525878906,-3.937500238418579
1694728530552263000,210.55326293945313,25.537500381469727,41.66250228881836,-3.825000047683716
1694728530572258300,210.57325830078125,24.281251907348633,42.82500076293945,-3.3000001907348633
1694728530592264700,210.5932646484375,23.775001525878906,42.91875076293945,-2.90625
1694728530612258600,210.61325854492188,22.537500381469727,43.42500305175781,-3.5062501430511475
1694728530632255200,210.63325512695312,21.375,43.6875,-3.6187500953674316
1694728530652246000,210.65324609375,20.34375,44.13750076293945,-3.637500047683716
1694728530672235000,210.67323510742187,19.21875,44.868751525878906,-2.512500047683716
1694728530692233700,210.69323364257812,19.23750114440918,44.681251525878906,-2.1187500953674316
1694728530712232000,210.71323193359376,17.887500762939453,45.056251525878906,-1.725000023841858
1694728530732225000,210.73322509765626,17.493751525878906,45.1875,-0.3187500238418579
1694728530752234200,210.75323413085937,16.875,45.1875,0.1875
1694728530772237800,210.77323779296876,16.462501525878906,45.54375076293945,0.48750001192092896
1694728530792247800,210.79324780273438,16.256250381469727,45.712501525878906,0.28125
1694728530812251400,210.81325146484374,15.843750953674316,45.35625076293945,0.26250001788139343
1694728530832242700,210.83324267578126,16.03125,45.431251525878906,-0.22500000894069672
1694728530852250000,210.85325,16.762500762939453,45.41250228881836,-0.9187500476837158
1694728530872240400,210.8732404785156,17.381250381469727,44.98125076293945,-0.7125000357627869
1694728530892240000,210.89323999023438,19.443750381469727,44.71875,-1.2000000476837158
1694728530912239900,210.9132399902344,21.9375,43.29375076293945,-1.40625
1694728530932249600,210.93324951171874,23.287500381469727,42.84375,-1.912500023841858
1694728530952246800,210.95324682617186,26.775001525878906,41.0625,-3.2250001430511475
1694728530972240400,210.97324047851563,28.950000762939453,39.73125076293945,-3.637500047683716
1694728530992246000,210.99324609375,30.693750381469727,38.47500228881836,-4.743750095367432
1694728531012235000,211.01323510742188,31.51875114440918,37.72500228881836,-5.868750095367432
1694728531032234800,211.03323486328125,32.493751525878906,36.78750228881836,-8.40000057220459
